,Year,State_Name,Name,Start_Date,End_Date,Party
5,2010,A&N Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
11,2010,Chandigarh,Pawan Kumar Bansal,2009-05-22,2014-05-18,INC
22,2010,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
28,2010,Jammu & Kashmir,Omar Abdullah,2009-05-01,2015-08-01,JKNC
35,2010,Lakshadweep,Muhammed Hamdulla Sayeed,2009-05-18,2014-05-18,INC
42,2010,Puducherry,V. Vaithilingam,2008-04-09,2011-05-16,INC
92,2010,Andhra Pradesh,Sri. K. Rosaiah,2009-03-09,2010-11-24,INC
93,2010,Andhra Pradesh,Sri. N.Kiran Kumar Reddy,2010-11-25,2014-02-28,INC
153,2010,Arunachal Pradesh,Dorjee Khandu,2009-10-23,2011-04-05,INC
233,2010,Assam,Shri Tarun Gogoi,2006-12-05,2011-05-16,INC
252,2010,Bihar,Nitish Kumar,2005-11-24,2014-05-20,JD(U)
266,2010,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
314,2010,Goa,Shri Digambar Kamat,2007-08-06,2012-08-03,INC
397,2010,Gujarat,Shri Narendra Modi,2008-01-18,2013-01-22,BJP
471,2010,Haryana,Shri Bhupinder Singh Hooda,2009-10-25,2014-10-25,INC
485,2010,Himachal Pradesh,Prem Kumar Dhumal,2007-12-30,2012-12-25,BJP
557,2010,Jammu & Kashmir,Shri Omar Abdullah,2009-05-01,2015-08-01,JKN
574,2010,Jharkhand,Shibu Soren,2009-12-30,2010-01-06,JMM
575,2010,Jharkhand,Arjun Munda,2010-11-09,2013-01-18,BJP
657,2010,Karnataka,Dr B.S.YEDDYURAPPA,2008-05-30,2011-04-08,BJP
729,2010,Kerala,Shri. V. S. Achuthanandan,2006-05-18,2011-05-14,CPM
814,2010,Madhya Pradesh,Shri Shivraj Singh Chouhan,2008-12-12,2013-12-13,BJP
829,2010,Maharashtra,Ashok Shankarrao Charan,2008-08-12,2010-09-11,INC
830,2010,Maharashtra,Prithviraj Chavan,2010-11-11,2014-09-26,INC
849,2010,Manipur,Okram Ibobi Singh,2002-07-03,2017-03-14,INC
914,2010,Meghalaya,Shri D. D. Lapang,2009-05-13,2010-04-18,INC
915,2010,Meghalaya,Shri Mukul Sangma,2010-04-20,2013-05-03,INC
976,2010,Mizoram,Lal Thanhawla,2008-10-12,2013-11-12,INC
1047,2010,Nagaland,Neiphiu Rio,2008-12-03,2013-02-27,NPF
1118,2010,Odisha,Shri Naveen Patnaik,2009-05-21,2014-05-21,BJD
1132,2010,Punjab,Parkash Singh Badal,2007-01-03,2017-03-16,BJP
1203,2010,Rajasthan,Ashok Gehlot,2008-12-13,2013-12-13,INC
1259,2010,Sikkim,Pawan Kumar Chamling,2009-05-20,2014-05-21,SDF
1332,2010,Tamil Nadu,Dr. Kalaignar M. Karunanidhi,2006-05-13,2011-05-15,DMK
1407,2010,Tripura,Manik Sarkar,2008-10-03,2013-01-03,CPM
1504,2010,Uttar Pradesh,Ms. Mayawati,2007-05-13,2012-03-14,BSP
1527,2010,Uttarakhand,Dr.Ramesh Pokhriyal Nishank,2009-06-27,2011-10-09,BJP
1558,2010,West Bengal,Buddhadeb Bhattacharya,2000-06-11,2011-05-13,CPI
