SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
1,A&N ISLANDS,7,39,5,39,0,39,18,11,7,0,0,9,66,89,15,74,51,8,29,0,10,105,0,40,14,12,0,9,478,1028
2,ANDHRA PRADESH,4239,3173,266,1761,0,1761,2543,1722,821,490,18,1048,6543,20808,4600,16208,9455,1025,8823,237,972,68228,1322,4622,3820,21572,0,11851,55789,228605
3,ARUNACHAL PRADESH,103,58,3,49,0,49,81,48,33,33,0,116,176,376,109,267,100,42,92,0,30,595,0,88,1,11,0,83,788,2825
4,ASSAM,1537,471,43,1629,5,1624,3190,2687,503,816,69,1094,3970,9079,1357,7722,10112,1000,1271,88,826,8132,263,2020,35,6208,0,2471,15566,69890
5,BIHAR,5207,5418,547,892,0,892,4518,2503,2015,1477,187,1926,2144,9740,3084,6656,36028,1314,3063,84,940,23058,2508,808,22,3850,26,3459,89073,196289
6,CHANDIGARH,45,76,18,44,0,44,51,23,28,24,36,105,153,492,168,324,257,7,140,4,7,75,10,28,2,18,0,6,985,2583
7,CHHATTISGARH,1727,1449,40,1198,0,1198,439,352,87,461,74,810,2291,3265,824,2441,6867,153,814,51,295,17272,277,1969,261,2450,5,2020,28562,72750
8,D&N HAVELI,7,0,1,3,0,3,20,7,13,11,0,0,38,62,25,37,199,16,21,0,0,24,0,12,2,14,0,26,129,585
9,DAMAN & DIU,19,8,1,1,0,1,0,0,0,27,0,0,20,32,16,16,41,6,7,0,0,16,0,2,0,6,0,26,54,266
10,DELHI,953,621,80,602,0,602,512,366,146,164,153,1263,1002,7401,3311,4090,427,180,1036,42,29,3125,209,794,89,878,0,566,13372,33498
11,GOA,44,58,6,50,0,50,43,15,28,18,0,75,316,621,205,416,319,44,105,3,29,290,5,37,22,41,0,222,984,3332
12,GUJARAT,2116,1982,89,617,0,617,2015,1651,364,938,98,1980,3081,9697,3988,5709,11506,1844,2044,51,459,22554,28,986,131,16877,0,4455,78495,162043
13,HARYANA,1961,1792,106,866,0,866,903,543,360,457,898,1210,2588,6754,3436,3318,5169,698,1619,56,300,9002,589,605,635,4057,0,1247,22725,64237
14,HIMACHAL PRADESH,193,198,17,197,0,197,161,101,60,1,0,18,450,680,133,547,3359,96,262,5,99,2046,4,418,73,677,0,362,9452,18768
15,JAMMU & KASHMIR,318,930,31,266,0,266,570,509,61,4,0,82,658,2489,264,2225,5970,280,621,33,165,654,26,2053,295,418,0,470,15308,31641
16,JHARKHAND,2095,1692,103,836,0,836,1040,710,330,604,98,707,741,3056,1013,2043,9103,441,896,31,241,7272,567,273,20,1600,15,1189,19063,51683
17,KARNATAKA,3631,4660,90,771,0,771,1389,751,638,1089,1323,1851,3159,7456,2720,4736,28105,514,3846,121,228,32213,621,3411,22,6515,0,525,60078,161618
18,KERALA,680,941,123,659,0,659,340,221,119,376,658,935,1986,3509,941,2568,39040,319,2736,55,301,29045,34,3585,604,7522,0,76,103988,197512
19,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15
20,MADHYA PRADESH,5521,7144,239,4387,0,4387,1684,1303,381,593,559,2890,6233,10946,3356,7590,18028,663,2412,55,1223,81474,2564,7863,1182,10253,19,6139,171121,343192
21,MAHARASHTRA,5725,6838,260,2180,0,2180,2325,1470,855,3942,1348,5696,13564,31545,7492,24053,53016,2505,9508,203,1534,59092,1438,4386,1515,28261,0,10415,60333,305629
22,MANIPUR,57,95,0,22,0,22,120,83,37,0,223,0,27,105,32,73,52,8,50,8,2,130,0,23,0,13,0,1,370,1306
23,MEGHALAYA,133,48,6,135,0,135,104,41,63,72,1,69,105,343,73,270,25,26,68,10,28,84,0,29,0,11,0,34,412,1743
24,MIZORAM,57,33,20,112,0,112,11,0,11,1,0,18,347,721,74,647,0,29,77,19,26,154,0,79,0,3,0,34,487,2228
25,NAGALAND,37,47,10,17,0,17,90,13,77,23,0,72,49,267,42,225,7,19,35,9,0,40,0,15,3,3,0,14,309,1066
